Source File	Size	loadResources	load-configure	scan	loadDepInfo	loadInfo	load	generateSnapshots	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	generate1	generate2	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
/fsh-generated/resources/ImplementationGuide-fhir.example.json	1477	-	0	0	0	0	0	0	6	56	0	0	0	0	0	0	0	0	0	0	82	75	0	0	0	3	0	1
fsh-generated/resources/Patient-PatientExample.json	249	18	0	0	0	0	0	0	0	32	0	0	0	0	0	0	0	0	0	0	9	11	0	0	0	0	0	0
fsh-generated/resources/StructureDefinition-MyPatient.json	597	14	0	0	0	0	0	80	0	67	0	0	1	0	0	0	0	2	0	0	261	1762	0	0	0	10	0	1
